Degree,Specialization,CGPA,Job_Role
M.Sc,Physics,7.13,Lab Technician
B.Tech,Environmental Engineering,8.62,Sustainability Consultant
M.Sc,Mathematics,8.83,Cryptographer
M.Sc,Nursing,8.85,Nurse Practitioner
B.Sc,Statistics,8.66,Statistical Modeler
B.Tech,Biomedical Engineering,7.0,Equipment Technician
B.Sc,Forensic Science,7.8,Crime Scene Investigator
M.Tech,Mechanical Engineering,7.39,Maintenance Technician
B.Sc,Nursing,6.89,Nursing Assistant
M.Sc,Dialysis Technology,6.69,Health Aide
M.Sc,Forensic Science,8.38,Crime Scene Investigator
M.Sc,Physics,7.35,Actuary
B.Tech,Biomedical Engineering,7.72,Lab Technician
M.Tech,Chemical Engineering,6.95,Safety Officer
M.Sc,Electronics,9.98,Circuit Designer
M.Sc,Nursing,8.44,Registered Nurse
B.Tech,Computer Science and Engineering,9.02,Data Scientist
M.Tech,Information Technology,9.56,Cloud Architect
B.Sc,Forensic Science,6.19,Evidence Custodian
M.Sc,Nursing,9.69,Nurse Manager
M.Sc,Forensic Science,6.02,Evidence Custodian
B.Sc,Mathematics,8.41,Mathematics Professor
B.Sc,Forensic Science,7.18,Evidence Custodian
M.Sc,Nursing,6.06,Nursing Assistant
B.Sc,Operation Theatre Technology,8.98,OT Manager
B.Tech,Mechanical Engineering,8.52,R&D Engineer
M.Tech,Metallurgical Engineering,9.48,Materials Scientist
B.Sc,Electronics,6.45,Testing Assistant
M.Tech,Electrical and Electronics Engineering,6.95,Maintenance Engineer
M.Tech,Biomedical Engineering,9.36,Bio-instrumentation Lead
B.Sc,Radiology,8.52,Senior Radiologist
M.Sc,Anesthesia Technology,8.48,Anesthesia Technician
B.Tech,Textile Engineering,8.16,Production Manager
M.Tech,Mining Engineering,8.39,Extraction Engineer
B.Tech,Information Technology,7.18,Helpdesk Specialist
B.Sc,Physics,9.58,Astrophysicist
B.Tech,Electronics and Communication Engineering,8.13,Electronics Engineer
B.Tech,Computer Science and Engineering,9.73,AI Engineer
B.Tech,Mining Engineering,6.15,Safety Inspector
B.Sc,Forensic Science,8.94,Forensic Pathologist
M.Tech,Mechanical Engineering,7.9,Production Engineer
M.Sc,Forensic Science,9.33,Forensic Pathologist
B.Sc,Optometry,8.58,Senior Optometrist
M.Tech,Biotechnology,7.6,Bioprocess Engineer
B.Tech,Biotechnology,9.93,Senior Scientist
M.Sc,Nursing,7.16,Nursing Assistant
M.Sc,Anesthesia Technology,8.08,Anesthesia Technician
M.Tech,Environmental Engineering,7.27,Materials Scientist
B.Sc,Statistics,6.11,Medical Assistant
M.Tech,Mechanical Engineering,9.02,R&D Engineer
M.Tech,Marine Engineering,8.39,Marine Engineer
M.Sc,Dialysis Technology,8.7,Dialysis Specialist
M.Tech,Mechanical Engineering,7.48,Maintenance Technician
M.Tech,Aeronautical Engineering,6.35,Technical Writer
B.Tech,Environmental Engineering,7.09,Waste Manager
B.Tech,Petroleum Engineering,8.57,Reservoir Engineer
M.Tech,Chemical Engineering,6.71,Safety Officer
M.Tech,Information Technology,7.84,Data Scientist
M.Tech,Petroleum Engineering,6.42,Site Supervisor
B.Tech,Chemical Engineering,7.96,Chemical Plant Operator
M.Sc,Statistics,9.0,Data Analyst
B.Tech,Mechanical Engineering,9.65,R&D Engineer
M.Tech,Petroleum Engineering,7.59,Drilling Engineer
B.Sc,Anesthesia Technology,6.58,Medical Assistant
B.Tech,Mining Engineering,9.93,Mine Manager
M.Tech,Information Technology,9.76,Dialysis Technician
B.Tech,Chemical Engineering,9.93,Process Design Engineer
M.Tech,Aeronautical Engineering,8.36,Aircraft Maintenance Engineer
B.Tech,Mechanical Engineering,6.75,Maintenance Technician
B.Sc,Chemistry,9.16,Analytical Chemist
M.Sc,Statistics,9.97,Data Analyst
B.Tech,Environmental Engineering,8.5,Sustainability Consultant
B.Tech,Electronics and Communication Engineering,8.29,Electronics Engineer
M.Sc,Forensic Science,9.14,Forensic Pathologist
B.Sc,Mathematics,8.88,Cryptographer
B.Sc,Anesthesia Technology,6.31,Medical Assistant
M.Tech,Environmental Engineering,8.82,Sustainability Consultant
M.Tech,Environmental Engineering,9.32,Sustainability Consultant
M.Tech,Electronics and Communication Engineering,8.01,Electronics Engineer
M.Tech,Information Technology,7.04,Helpdesk Specialist
B.Sc,Nursing,7.93,Registered Nurse
M.Tech,Aeronautical Engineering,7.43,Technical Writer
B.Sc,Mathematics,8.15,Mathematics Professor
M.Sc,Electronics,7.32,Testing Assistant
B.Tech,Aerospace Engineering,7.66,Satellite Controller
M.Tech,Textile Engineering,8.14,Production Manager
B.Sc,Dialysis Technology,9.41,Dialysis Specialist
M.Tech,Mining Engineering,6.57,Safety Inspector
M.Sc,Dialysis Technology,8.38,Dialysis Technician
M.Tech,Electrical and Electronics Engineering,7.55,Electrical Engineer
M.Tech,Mining Engineering,6.3,Safety Inspector
M.Tech,Electronics and Communication Engineering,7.52,Electronics Engineer
M.Tech,Mining Engineering,8.0,Extraction Engineer
B.Sc,Optometry,8.46,Extraction Engineer
B.Sc,Optometry,6.09,Optical Assistant
M.Tech,Chemical Engineering,9.36,Process Design Engineer
M.Sc,Forensic Science,7.76,Crime Scene Investigator
M.Tech,Chemical Engineering,9.5,Process Design Engineer
M.Sc,Radiology,9.74,Senior Radiologist
B.Tech,Information Technology,9.77,Cloud Architect
M.Tech,Chemical Engineering,8.27,Chemical Plant Operator
M.Sc,Mathematics,9.35,Actuary
B.Tech,Mining Engineering,6.9,Registered Nurse
B.Sc,Anesthesia Technology,8.49,Anesthesia Technician
M.Tech,Electronics and Communication Engineering,7.85,Electronics Engineer
M.Tech,Petroleum Engineering,8.33,Drilling Engineer
M.Sc,Optometry,7.39,Optical Assistant
M.Tech,Civil Engineering,9.07,Urban Planner
B.Sc,Statistics,6.21,Data Clerk
B.Sc,Electronics,8.84,Testing Assistant
M.Tech,Biotechnology,6.05,Lab Assistant
B.Tech,Environmental Engineering,6.96,Waste Manager
B.Sc,Mathematics,6.45,Data Entry Operator
B.Tech,Aeronautical Engineering,7.36,Technical Writer
B.Tech,Electronics and Communication Engineering,6.85,Network Technician
B.Sc,Physics,6.73,Lab Technician
M.Tech,Electronics and Communication Engineering,9.87,Embedded Systems Lead
M.Sc,Chemistry,7.76,Pharmacologist
B.Tech,Marine Engineering,6.41,Ship Maintenance
M.Sc,Operation Theatre Technology,9.51,OT Manager
M.Tech,Environmental Engineering,8.13,Environmental Engineer
M.Sc,Radiology,7.66,Radiology Technician
M.Sc,Mathematics,9.17,Cryptographer
B.Sc,Physics,9.89,Safety Officer
M.Tech,Textile Engineering,7.0,Textile Designer
B.Sc,Forensic Science,7.08,Evidence Custodian
M.Tech,Mechanical Engineering,6.2,Maintenance Technician
M.Tech,Environmental Engineering,7.97,Pharmacologist
B.Tech,Mechanical Engineering,6.89,Maintenance Technician
B.Tech,Biotechnology,6.22,Lab Assistant
B.Sc,Medical Laboratory Technology,6.64,Phlebotomist
M.Tech,Environmental Engineering,6.48,Safety Officer
M.Sc,Mathematics,8.57,Cryptographer
M.Sc,Medical Laboratory Technology,8.48,Medical Lab Technologist
M.Tech,Biomedical Engineering,8.0,Biomedical Engineer
B.Tech,Aerospace Engineering,8.49,Dialysis Specialist
B.Sc,Physics,9.6,Quantum Researcher
B.Tech,Mechanical Engineering,9.27,Design Engineer
B.Sc,Dialysis Technology,9.36,Dialysis Specialist
M.Sc,Computer Science,8.4,Systems Analyst
B.Sc,Computer Science,7.35,Computer Instructor
B.Sc,Physics,6.93,Lab Technician
B.Tech,Electrical and Electronics Engineering,7.33,Maintenance Engineer
B.Sc,Anesthesia Technology,9.15,Chief Anesthesia Tech
M.Tech,Electrical and Electronics Engineering,6.44,Cryptographer
M.Tech,Electronics and Communication Engineering,6.23,Network Technician
M.Sc,Dialysis Technology,9.51,Dialysis Specialist
B.Tech,Chemical Engineering,7.64,Anesthesia Technician
M.Tech,Metallurgical Engineering,7.06,Quality Control
M.Tech,Environmental Engineering,6.09,Waste Manager
M.Sc,Optometry,9.43,Senior Optometrist
B.Sc,Operation Theatre Technology,9.64,Database Admin
B.Sc,Anesthesia Technology,7.33,Medical Assistant
B.Sc,Physics,7.19,Lab Technician
M.Tech,Aeronautical Engineering,8.64,Circuit Designer
M.Tech,Chemical Engineering,8.23,Chemical Plant Operator
M.Sc,Chemistry,9.62,Analytical Chemist
M.Sc,Dialysis Technology,7.58,Dialysis Technician
M.Sc,Anesthesia Technology,6.36,Medical Assistant
M.Tech,Environmental Engineering,8.68,Sustainability Consultant
M.Sc,Optometry,9.48,Senior Optometrist
B.Sc,Operation Theatre Technology,6.08,Surgical Assistant
M.Tech,Aerospace Engineering,8.45,Radiology Technician
B.Tech,Metallurgical Engineering,6.8,Quality Control
B.Sc,Physics,8.79,Astrophysicist
B.Tech,Computer Science and Engineering,7.18,Technical Support
M.Sc,Physics,8.23,Physics Teacher
B.Tech,Chemical Engineering,7.09,Safety Officer
B.Tech,Mechanical Engineering,9.69,R&D Engineer
B.Sc,Optometry,6.93,Optical Assistant
B.Sc,Electronics,9.34,Circuit Designer
M.Sc,Medical Laboratory Technology,9.15,Lab Director
B.Tech,Mining Engineering,7.55,Extraction Engineer
B.Tech,Information Technology,9.51,Cloud Architect
M.Tech,Computer Science and Engineering,7.73,Environmental Engineer
B.Sc,Statistics,8.57,Statistical Modeler
M.Tech,Petroleum Engineering,8.86,Reservoir Engineer
B.Tech,Information Technology,9.19,Solutions Architect
B.Tech,Computer Science and Engineering,9.98,Data Scientist
M.Tech,Textile Engineering,9.26,Fiber Scientist
M.Tech,Environmental Engineering,7.1,Waste Manager
M.Tech,Electronics and Communication Engineering,8.01,Electronics Engineer
B.Tech,Mining Engineering,6.37,Safety Inspector
M.Sc,Nursing,8.47,Registered Nurse
M.Sc,Computer Science,6.44,Computer Instructor
B.Sc,Operation Theatre Technology,6.88,Surgical Assistant
B.Tech,Metallurgical Engineering,6.6,Quality Control
M.Tech,Mining Engineering,7.05,Anesthesia Technician
B.Sc,Statistics,9.49,Statistical Modeler
B.Tech,Mechanical Engineering,6.49,Maintenance Technician
B.Tech,Environmental Engineering,9.86,Sustainability Consultant
M.Sc,Computer Science,9.15,Database Admin
B.Sc,Dialysis Technology,6.31,Health Aide
M.Tech,Textile Engineering,6.07,Textile Designer
M.Tech,Aeronautical Engineering,7.41,Technical Writer
B.Tech,Electrical and Electronics Engineering,9.9,Power Systems Engineer
M.Sc,Operation Theatre Technology,6.24,Health Aide
M.Sc,Electronics,7.98,Hardware Repair Lead
M.Tech,Metallurgical Engineering,8.01,Process Metallurgist
B.Sc,Dialysis Technology,6.8,Health Aide
M.Tech,Computer Science and Engineering,9.87,Data Scientist
M.Tech,Electronics and Communication Engineering,9.05,VLSI Engineer
B.Sc,Forensic Science,8.45,Crime Scene Investigator
B.Sc,Forensic Science,6.07,Evidence Custodian
B.Tech,Electrical and Electronics Engineering,8.55,Power Systems Engineer
B.Sc,Optometry,9.52,Senior Optometrist
M.Tech,Chemical Engineering,8.15,Chemical Plant Operator
M.Tech,Biotechnology,7.68,Bioprocess Engineer
M.Sc,Optometry,9.78,Senior Optometrist
B.Tech,Civil Engineering,7.87,Site Engineer
B.Sc,Anesthesia Technology,7.17,Medical Assistant
B.Tech,Metallurgical Engineering,7.28,Quality Control
B.Sc,Dialysis Technology,8.77,Evidence Custodian
B.Sc,Statistics,8.66,Data Analyst
M.Sc,Mathematics,6.85,Equipment Technician
B.Sc,Dialysis Technology,8.4,Dialysis Technician
M.Sc,Computer Science,7.17,Computer Instructor
M.Tech,Mechanical Engineering,9.26,R&D Engineer
B.Tech,Biotechnology,7.17,Lab Assistant
M.Tech,Computer Science and Engineering,9.26,Data Scientist
B.Sc,Physics,6.52,Lab Technician
M.Tech,Electrical and Electronics Engineering,9.9,Power Systems Engineer
B.Tech,Aeronautical Engineering,9.52,Aerodynamics Specialist
M.Sc,Dialysis Technology,8.47,Dialysis Technician
M.Tech,Metallurgical Engineering,6.71,Quality Control
B.Tech,Aeronautical Engineering,7.37,Technical Writer
M.Tech,Mechanical Engineering,8.38,Production Engineer
M.Sc,Anesthesia Technology,7.61,Anesthesia Technician
M.Sc,Operation Theatre Technology,7.16,Surgical Assistant
M.Tech,Civil Engineering,7.54,Site Engineer
B.Tech,Environmental Engineering,8.33,Environmental Engineer
B.Sc,Electronics,8.86,Circuit Designer
B.Tech,Biomedical Engineering,7.06,Equipment Technician
B.Sc,Physics,9.29,Quantum Researcher
B.Tech,Mining Engineering,7.7,Site Engineer
B.Tech,Mining Engineering,9.74,Mine Manager
M.Tech,Marine Engineering,8.8,Naval Architect
B.Tech,Electrical and Electronics Engineering,6.48,Maintenance Engineer
B.Tech,Petroleum Engineering,9.66,Reservoir Engineer
B.Tech,Biomedical Engineering,8.98,Medical Device Designer
B.Tech,Marine Engineering,9.2,Naval Architect
B.Sc,Electronics,7.41,Testing Assistant
B.Tech,Petroleum Engineering,8.68,Dialysis Technician
B.Tech,Information Technology,8.22,IT Engineer
B.Sc,Computer Science,6.54,Textile Designer
B.Tech,Marine Engineering,7.16,Ship Maintenance
M.Tech,Biotechnology,9.09,Genetic Engineer
M.Sc,Physics,6.01,Lab Technician
M.Sc,Dialysis Technology,7.71,OT Technician
M.Tech,Chemical Engineering,8.43,Chemical Plant Operator
B.Tech,Mining Engineering,8.61,Mine Manager
M.Tech,Chemical Engineering,9.22,Process Design Engineer
B.Tech,Environmental Engineering,9.58,Sustainability Consultant
M.Tech,Textile Engineering,6.67,Textile Designer
M.Tech,Aerospace Engineering,7.41,Quality Inspector
M.Sc,Computer Science,9.97,Database Admin
M.Tech,Petroleum Engineering,8.89,Reservoir Engineer
M.Tech,Biomedical Engineering,6.58,IT Engineer
M.Tech,Petroleum Engineering,7.85,Drilling Engineer
M.Tech,Mining Engineering,9.75,Mine Manager
B.Tech,Chemical Engineering,6.84,Safety Officer
M.Sc,Nursing,7.96,Registered Nurse
B.Sc,Nursing,6.6,Nursing Assistant
M.Sc,Physics,7.99,Physics Teacher
B.Tech,Information Technology,6.68,Helpdesk Specialist
M.Sc,Computer Science,9.54,Web Developer
B.Sc,Computer Science,9.14,Analytical Chemist
B.Tech,Aerospace Engineering,8.56,Spacecraft Systems Engineer
B.Tech,Environmental Engineering,9.86,Sustainability Consultant
M.Tech,Metallurgical Engineering,7.57,Process Metallurgist
M.Tech,Biomedical Engineering,8.92,Bio-instrumentation Lead
M.Tech,Chemical Engineering,7.03,Safety Officer
B.Tech,Metallurgical Engineering,8.14,Process Metallurgist
M.Sc,Physics,7.32,Lab Technician
M.Sc,Forensic Science,9.5,Forensic Pathologist
M.Tech,Biomedical Engineering,9.3,Medical Device Designer
M.Tech,Civil Engineering,6.44,Draftsman
B.Tech,Biotechnology,8.62,Genetic Engineer
B.Tech,Textile Engineering,6.19,Textile Designer
B.Tech,Information Technology,9.33,Cloud Architect
M.Tech,Computer Science and Engineering,6.11,Technical Support
M.Sc,Anesthesia Technology,7.24,Survey Researcher
M.Tech,Information Technology,7.03,Helpdesk Specialist
B.Tech,Metallurgical Engineering,9.73,Materials Scientist
B.Sc,Medical Laboratory Technology,7.37,Phlebotomist
B.Tech,Biotechnology,8.17,Bioprocess Engineer
M.Sc,Physics,6.46,Lab Technician
B.Sc,Anesthesia Technology,6.29,Medical Assistant
M.Sc,Operation Theatre Technology,9.48,OT Manager
M.Tech,Electrical and Electronics Engineering,9.7,Power Systems Engineer
M.Tech,Information Technology,9.65,Cloud Architect
M.Tech,Civil Engineering,8.68,Structural Engineer
B.Tech,Textile Engineering,7.47,Textile Designer
B.Sc,Computer Science,9.51,Database Admin
B.Tech,Marine Engineering,9.39,Naval Architect
M.Tech,Petroleum Engineering,9.04,Reservoir Engineer
M.Sc,Chemistry,7.98,Pharmacologist
M.Tech,Computer Science and Engineering,7.69,Software Engineer
B.Tech,Chemical Engineering,7.36,Safety Officer
M.Tech,Electronics and Communication Engineering,8.73,Satellite Controller
M.Tech,Metallurgical Engineering,6.55,Quality Control
M.Sc,Computer Science,9.42,Web Developer
B.Sc,Nursing,7.67,Process Design Engineer
M.Tech,Metallurgical Engineering,7.71,Process Metallurgist
B.Sc,Chemistry,9.22,Analytical Chemist
B.Sc,Forensic Science,6.82,Evidence Custodian
M.Tech,Mining Engineering,8.03,Extraction Engineer
M.Tech,Biotechnology,6.35,Lab Assistant
M.Sc,Electronics,8.46,Hardware Repair Lead
B.Sc,Operation Theatre Technology,7.31,Surgical Assistant
B.Tech,Electrical and Electronics Engineering,8.98,Control Systems Lead
M.Tech,Petroleum Engineering,7.3,Site Supervisor
B.Sc,Chemistry,8.7,Systems Analyst
B.Sc,Nursing,7.16,Draftsman
B.Tech,Biomedical Engineering,9.84,Bio-instrumentation Lead
B.Tech,Aeronautical Engineering,9.51,Aerodynamics Specialist
B.Tech,Information Technology,9.25,Cloud Architect
B.Tech,Mechanical Engineering,7.78,Production Engineer
M.Sc,Mathematics,6.19,Data Entry Operator
M.Tech,Marine Engineering,9.54,Naval Architect
M.Sc,Forensic Science,9.49,Forensic Pathologist
M.Tech,Electronics and Communication Engineering,8.61,VLSI Engineer
M.Tech,Environmental Engineering,7.82,Environmental Engineer
B.Tech,Mining Engineering,6.02,Safety Inspector
M.Sc,Forensic Science,6.15,Evidence Custodian
B.Tech,Aeronautical Engineering,8.27,Aircraft Maintenance Engineer
M.Sc,Forensic Science,9.5,Data Scientist
B.Tech,Mechanical Engineering,8.8,Chemical Assistant
M.Sc,Dialysis Technology,7.21,Health Aide
B.Tech,Electronics and Communication Engineering,7.6,Electronics Engineer
B.Sc,Anesthesia Technology,6.32,Medical Assistant
M.Sc,Statistics,6.43,Data Clerk
B.Tech,Mechanical Engineering,7.98,Production Engineer
B.Sc,Forensic Science,9.14,Forensic Pathologist
B.Sc,Radiology,6.82,Process Design Engineer
B.Sc,Nursing,8.59,Nurse Manager
M.Tech,Electrical and Electronics Engineering,7.41,Maintenance Engineer
B.Sc,Chemistry,8.47,Pharmacologist
M.Sc,Physics,6.88,Lab Technician
M.Sc,Forensic Science,6.22,Evidence Custodian
B.Tech,Petroleum Engineering,8.3,Drilling Engineer
B.Sc,Dialysis Technology,9.56,Dialysis Specialist
M.Sc,Electronics,9.01,Circuit Designer
B.Sc,Radiology,7.84,Radiology Technician
B.Tech,Marine Engineering,10.0,Naval Architect
M.Tech,Civil Engineering,7.11,Draftsman
M.Sc,Forensic Science,6.08,Evidence Custodian
M.Tech,Textile Engineering,9.64,Senior Optometrist
B.Tech,Mechanical Engineering,8.67,R&D Engineer
B.Tech,Computer Science and Engineering,9.03,AI Engineer
B.Tech,Marine Engineering,9.04,Naval Architect
M.Sc,Dialysis Technology,8.08,Dialysis Technician
B.Tech,Information Technology,6.68,Helpdesk Specialist
B.Tech,Mining Engineering,7.34,Safety Inspector
B.Tech,Mechanical Engineering,8.26,Production Engineer
B.Sc,Operation Theatre Technology,9.3,OT Manager
B.Tech,Aeronautical Engineering,8.55,Medical Device Designer
B.Tech,Metallurgical Engineering,9.73,Aerodynamics Specialist
B.Tech,Mining Engineering,8.68,Mine Manager
M.Tech,Marine Engineering,9.35,Naval Architect
M.Sc,Statistics,8.88,Statistical Modeler
M.Sc,Chemistry,6.53,Lab Director
M.Tech,Mining Engineering,6.61,Safety Inspector
B.Sc,Optometry,8.63,Senior Optometrist
M.Sc,Anesthesia Technology,6.49,Medical Assistant
M.Sc,Dialysis Technology,8.0,Dialysis Technician
M.Tech,Marine Engineering,9.48,Naval Architect
M.Tech,Electrical and Electronics Engineering,9.77,Reservoir Engineer
B.Sc,Forensic Science,9.27,Forensic Pathologist
B.Sc,Computer Science,8.06,Systems Analyst
B.Sc,Operation Theatre Technology,9.54,OT Manager
B.Sc,Electronics,9.19,Circuit Designer
B.Sc,Computer Science,6.13,Computer Instructor
M.Sc,Medical Laboratory Technology,7.61,Medical Lab Technologist
B.Tech,Electronics and Communication Engineering,9.23,Satellite Controller
M.Sc,Physics,9.46,Astrophysicist
B.Tech,Aerospace Engineering,6.64,Quality Inspector
M.Tech,Biomedical Engineering,9.67,Bio-instrumentation Lead
M.Tech,Metallurgical Engineering,7.93,Process Metallurgist
M.Tech,Aeronautical Engineering,9.18,Aerodynamics Specialist
M.Sc,Nursing,8.59,Nurse Manager
M.Tech,Biomedical Engineering,9.72,Medical Device Designer
M.Tech,Computer Science and Engineering,8.98,AI Engineer
B.Tech,Electronics and Communication Engineering,9.36,Embedded Systems Lead
B.Sc,Radiology,6.57,X-Ray Assistant
B.Tech,Aeronautical Engineering,6.08,Technical Writer
M.Tech,Computer Science and Engineering,7.1,Aerodynamics Specialist
B.Sc,Optometry,9.86,Senior Optometrist
M.Tech,Mechanical Engineering,7.63,Production Engineer
M.Sc,Radiology,9.14,Forensic Pathologist
M.Tech,Chemical Engineering,7.36,Safety Officer
M.Tech,Electronics and Communication Engineering,6.88,Network Technician
B.Tech,Metallurgical Engineering,9.29,Materials Scientist
M.Tech,Textile Engineering,6.94,Textile Designer
B.Tech,Petroleum Engineering,6.01,Site Supervisor
M.Sc,Mathematics,6.92,Data Entry Operator
M.Sc,Nursing,6.07,Safety Inspector
M.Sc,Forensic Science,6.33,Evidence Custodian
B.Tech,Electronics and Communication Engineering,8.89,Embedded Systems Lead
B.Tech,Environmental Engineering,8.47,Environmental Engineer
B.Sc,Mathematics,6.79,Data Entry Operator
M.Tech,Electronics and Communication Engineering,7.79,Data Entry Operator
B.Tech,Mechanical Engineering,8.59,Chemical Plant Operator
B.Tech,Metallurgical Engineering,9.18,Materials Scientist
B.Sc,Statistics,7.89,Survey Researcher
B.Sc,Statistics,8.37,Survey Researcher
B.Tech,Civil Engineering,6.58,Draftsman
B.Tech,Aerospace Engineering,8.78,Spacecraft Systems Engineer
B.Sc,Nursing,9.89,Nurse Manager
M.Sc,Computer Science,9.08,Database Admin
B.Tech,Chemical Engineering,6.53,Safety Officer
M.Sc,Dialysis Technology,9.67,Dialysis Specialist
M.Tech,Electrical and Electronics Engineering,7.32,Maintenance Engineer
B.Sc,Forensic Science,8.24,R&D Engineer
B.Sc,Radiology,6.81,X-Ray Assistant
B.Tech,Aerospace Engineering,9.94,Spacecraft Systems Engineer
M.Sc,Anesthesia Technology,9.52,Chief Anesthesia Tech
M.Tech,Chemical Engineering,8.45,Chemical Plant Operator
B.Sc,Nursing,6.93,Nursing Assistant
B.Tech,Aerospace Engineering,6.7,Quality Inspector
B.Tech,Environmental Engineering,9.91,Sustainability Consultant
M.Sc,Electronics,9.91,Circuit Designer
M.Tech,Marine Engineering,6.31,Radiology Technician
M.Sc,Anesthesia Technology,7.62,Anesthesia Technician
M.Sc,Mathematics,6.42,Data Entry Operator
B.Sc,Anesthesia Technology,8.34,Solutions Architect
B.Tech,Electronics and Communication Engineering,6.38,Network Technician
M.Sc,Mathematics,8.04,Mathematics Professor
M.Tech,Metallurgical Engineering,6.99,Senior Optometrist
M.Tech,Electrical and Electronics Engineering,9.48,Control Systems Lead
B.Sc,Statistics,8.33,Survey Researcher
M.Sc,Computer Science,6.46,Computer Instructor
B.Tech,Mechanical Engineering,8.16,Production Engineer
B.Tech,Electrical and Electronics Engineering,8.31,Electrical Engineer
M.Sc,Mathematics,7.46,Solutions Architect
B.Tech,Computer Science and Engineering,8.93,Data Scientist
B.Sc,Electronics,8.12,Hardware Repair Lead
M.Sc,Nursing,7.61,Registered Nurse
M.Sc,Radiology,8.31,Radiology Technician
M.Tech,Information Technology,9.77,Cloud Architect
M.Tech,Petroleum Engineering,9.36,Reservoir Engineer
B.Tech,Aeronautical Engineering,8.4,Aircraft Maintenance Engineer
M.Sc,Operation Theatre Technology,9.43,OT Manager
M.Tech,Environmental Engineering,9.25,Sustainability Consultant
M.Sc,Statistics,7.36,Data Clerk
B.Sc,Mathematics,8.59,Actuary
B.Tech,Electronics and Communication Engineering,9.46,Lab Assistant
B.Tech,Biotechnology,8.09,Bioprocess Engineer
M.Sc,Forensic Science,8.17,Crime Scene Investigator
B.Sc,Forensic Science,6.32,Evidence Custodian
M.Tech,Textile Engineering,7.66,Production Manager
M.Tech,Textile Engineering,7.76,Production Manager
M.Tech,Biomedical Engineering,7.69,Biomedical Engineer
B.Tech,Biotechnology,9.93,Senior Scientist
B.Sc,Physics,9.16,Astrophysicist
M.Tech,Computer Science and Engineering,8.49,Software Engineer
M.Tech,Environmental Engineering,9.81,Sustainability Consultant
M.Sc,Nursing,9.24,Nurse Practitioner
B.Tech,Electrical and Electronics Engineering,9.18,Power Systems Engineer
M.Tech,Computer Science and Engineering,6.79,Technical Support
B.Sc,Statistics,6.11,Data Clerk
B.Sc,Optometry,7.5,Eye Consultant
B.Tech,Mining Engineering,7.33,Safety Inspector
B.Tech,Aeronautical Engineering,8.53,Aerodynamics Specialist
B.Sc,Statistics,7.93,Survey Researcher
M.Tech,Environmental Engineering,7.0,Survey Researcher
M.Tech,Mechanical Engineering,7.94,Production Engineer
B.Tech,Information Technology,9.95,Cloud Architect
B.Tech,Biomedical Engineering,7.99,Biomedical Engineer
M.Tech,Biomedical Engineering,9.9,Medical Device Designer
M.Tech,Marine Engineering,6.15,Ship Maintenance
B.Tech,Textile Engineering,6.27,Textile Designer
B.Tech,Aeronautical Engineering,6.26,Technical Writer
B.Tech,Mechanical Engineering,6.62,Maintenance Technician
B.Sc,Electronics,9.7,Circuit Designer
M.Sc,Mathematics,9.99,Actuary
M.Tech,Mechanical Engineering,7.99,Production Engineer
M.Tech,Electronics and Communication Engineering,6.17,Network Technician
B.Sc,Dialysis Technology,6.83,Health Aide
M.Tech,Petroleum Engineering,6.79,Site Supervisor
M.Tech,Mechanical Engineering,7.11,Maintenance Technician
M.Sc,Electronics,7.77,Hardware Repair Lead
M.Sc,Radiology,7.91,Radiology Technician
B.Sc,Nursing,6.63,Nursing Assistant
M.Tech,Petroleum Engineering,7.28,Waste Manager
M.Tech,Electronics and Communication Engineering,7.87,Electronics Engineer
B.Tech,Electronics and Communication Engineering,6.51,Network Technician
B.Sc,Forensic Science,8.04,Crime Scene Investigator
M.Tech,Metallurgical Engineering,9.87,Materials Scientist
B.Sc,Chemistry,6.66,Chemical Assistant
M.Tech,Aerospace Engineering,6.3,Quality Inspector
B.Sc,Nursing,6.29,Nursing Assistant
M.Sc,Chemistry,9.03,Analytical Chemist
B.Sc,Statistics,9.06,Statistical Modeler
M.Sc,Dialysis Technology,7.6,Dialysis Technician
M.Tech,Mechanical Engineering,9.12,Design Engineer
M.Tech,Information Technology,8.73,Cloud Architect
B.Tech,Metallurgical Engineering,9.91,Materials Scientist
B.Tech,Mechanical Engineering,9.28,R&D Engineer
M.Tech,Environmental Engineering,7.94,Senior Scientist
M.Sc,Dialysis Technology,8.69,Nurse Manager
M.Sc,Mathematics,7.02,Data Entry Operator
B.Sc,Optometry,7.63,Production Manager
B.Sc,Forensic Science,9.2,Forensic Pathologist
B.Tech,Biomedical Engineering,9.14,Medical Device Designer
M.Sc,Mathematics,6.27,Data Entry Operator
M.Tech,Mechanical Engineering,7.96,Senior Radiologist
B.Sc,Nursing,7.71,Registered Nurse
B.Tech,Textile Engineering,9.2,Fiber Scientist
M.Tech,Information Technology,7.67,IT Engineer
B.Tech,Metallurgical Engineering,7.53,Process Metallurgist
M.Sc,Dialysis Technology,7.02,Health Aide
B.Tech,Biomedical Engineering,6.69,Phlebotomist
B.Tech,Aerospace Engineering,9.3,Spacecraft Systems Engineer
M.Tech,Metallurgical Engineering,6.39,Quality Control
M.Sc,Dialysis Technology,7.21,Health Aide
M.Tech,Biotechnology,6.14,Lab Assistant
M.Tech,Environmental Engineering,9.13,Sustainability Consultant
M.Tech,Mining Engineering,9.38,Mine Manager
B.Tech,Civil Engineering,7.04,Draftsman
B.Tech,Biotechnology,8.78,Senior Scientist
